station,model,runtime,ftime,n_x,tmp,dpt,cld,wdr,wsp,p06,p12,q06,q12,t06,t12,snw,cig,vis,obv,poz,pos,typ
KBNA,GFS,2018-01-01 00:00:00+00,2018-01-01 06:00:00+00,,14,2,CL,350,15,,,,,,,,8,7,N ,3,94,S ,
KBNA,GFS,2018-01-01 00:00:00+00,2018-01-01 09:00:00+00,,12,1,OV,350,13,,,,,,,,6,7,N ,1,98,S ,
KBNA,GFS,2018-01-01 00:00:00+00,2018-01-01 12:00:00+00,,11,1,CL,350,13,1,,0,,0/4,,,5,7,N ,2,98,S ,
KBNA,GFS,2018-01-01 00:00:00+00,2018-01-01 15:00:00+00,,11,0,BK,360,14,,,,,,,,8,7,N ,1,99,S ,
KBNA,GFS,2018-01-01 00:00:00+00,2018-01-01 18:00:00+00,,15,-2,FW,360,12,0,,0,,0/0,,,8,7,N ,0,100,S ,
KBNA,GFS,2018-01-01 00:00:00+00,2018-01-01 21:00:00+00,,18,-4,FW,350,13,,,,,,,,8,7,N ,1,99,S ,
KBNA,GFS,2018-01-01 00:00:00+00,2018-01-02 00:00:00+00,20,16,-3,FW,360,9,1,1,0,0,0/6,,,8,7,N ,0,98,S ,
KBNA,GFS,2018-01-01 00:00:00+00,2018-01-02 03:00:00+00,,13,-5,CL,350,9,,,,,,,,8,7,N ,1,97,S ,
KBNA,GFS,2018-01-01 00:00:00+00,2018-01-02 06:00:00+00,,10,-6,CL,360,7,1,,0,,0/8,,,8,7,N ,0,98,S ,
KBNA,GFS,2018-01-01 00:00:00+00,2018-01-02 09:00:00+00,,8,-5,CL,360,5,,,,,,,,8,7,N ,0,98,S ,
KBNA,GFS,2018-01-01 00:00:00+00,2018-01-02 12:00:00+00,5,8,-4,CL,10,4,0,1,0,0,0/3,,0,8,7,N ,1,100,S ,
KBNA,GFS,2018-01-01 00:00:00+00,2018-01-02 15:00:00+00,,12,-2,CL,20,4,,,,,,,,8,7,N ,0,99,S ,
KBNA,GFS,2018-01-01 00:00:00+00,2018-01-02 18:00:00+00,,19,-5,CL,20,4,0,,0,,0/0,,,8,7,N ,0,97,S ,
KBNA,GFS,2018-01-01 00:00:00+00,2018-01-02 21:00:00+00,,23,-6,BK,20,5,,,,,,,,8,7,N ,0,98,S ,
KBNA,GFS,2018-01-01 00:00:00+00,2018-01-03 00:00:00+00,24,21,-3,OV,10,3,1,1,0,0,0/0,,,8,7,N ,0,97,S ,
KBNA,GFS,2018-01-01 00:00:00+00,2018-01-03 03:00:00+00,,17,1,OV,360,2,,,,,,,,8,7,N ,0,97,S ,
KBNA,GFS,2018-01-01 00:00:00+00,2018-01-03 06:00:00+00,,12,0,OV,0,0,1,,0,,0/11,,,8,7,N ,0,98,S ,
KBNA,GFS,2018-01-01 00:00:00+00,2018-01-03 09:00:00+00,,12,1,OV,210,2,,,,,,,,7,7,N ,0,96,S ,
KBNA,GFS,2018-01-01 00:00:00+00,2018-01-03 12:00:00+00,10,13,2,OV,230,1,2,7,0,0,0/0,,0,7,7,N ,1,97,S ,
KBNA,GFS,2018-01-01 00:00:00+00,2018-01-03 18:00:00+00,,31,3,CL,240,6,5,,0,,0/1,,,8,7,N ,1,87,S ,
KBNA,GFS,2018-01-01 00:00:00+00,2018-01-04 00:00:00+00,37,29,1,FW,290,6,0,11,0,0,1/0,,,8,7,N ,0,89,S ,
KBNA,GFS,2018-01-01 06:00:00+00,2018-01-01 12:00:00+00,,10,1,OV,350,13,,,,,,,,5,7,N ,3,92,S ,
KBNA,GFS,2018-01-01 06:00:00+00,2018-01-01 15:00:00+00,,12,0,OV,360,14,,,,,,,,5,7,N ,1,98,S ,
KBNA,GFS,2018-01-01 06:00:00+00,2018-01-01 18:00:00+00,,14,-2,SC,360,12,1,,0,,0/11,,,8,7,N ,0,100,S ,
KBNA,GFS,2018-01-01 06:00:00+00,2018-01-01 21:00:00+00,,17,-4,FW,350,13,,,,,,,,8,7,N ,0,99,S ,
KBNA,GFS,2018-01-01 06:00:00+00,2018-01-02 00:00:00+00,20,15,-4,FW,350,10,0,1,0,0,0/7,,,8,7,N ,1,97,S ,
KBNA,GFS,2018-01-01 06:00:00+00,2018-01-02 03:00:00+00,,13,-4,CL,350,9,,,,,,,,8,7,N ,1,98,S ,
KBNA,GFS,2018-01-01 06:00:00+00,2018-01-02 06:00:00+00,,9,-5,CL,360,7,0,,0,,0/5,,,8,7,N ,0,99,S ,
KBNA,GFS,2018-01-01 06:00:00+00,2018-01-02 09:00:00+00,,7,-5,CL,360,6,,,,,,,,8,7,N ,0,99,S ,
KBNA,GFS,2018-01-01 06:00:00+00,2018-01-02 12:00:00+00,4,6,-5,CL,10,4,0,0,0,0,0/3,,0,8,7,N ,0,99,S ,
KBNA,GFS,2018-01-01 06:00:00+00,2018-01-02 15:00:00+00,,13,-4,FW,20,5,,,,,,,,8,7,N ,0,99,S ,
KBNA,GFS,2018-01-01 06:00:00+00,2018-01-02 18:00:00+00,,21,-7,CL,20,4,0,,0,,0/4,,,8,7,N ,0,98,S ,
KBNA,GFS,2018-01-01 06:00:00+00,2018-01-02 21:00:00+00,,26,-8,BK,10,5,,,,,,,,8,7,N ,0,97,S ,
KBNA,GFS,2018-01-01 06:00:00+00,2018-01-03 00:00:00+00,26,23,-4,OV,10,3,1,1,0,0,0/1,,,8,7,N ,0,96,S ,
KBNA,GFS,2018-01-01 06:00:00+00,2018-01-03 03:00:00+00,,19,1,OV,10,1,,,,,,,,8,7,N ,0,95,S ,
KBNA,GFS,2018-01-01 06:00:00+00,2018-01-03 06:00:00+00,,13,0,OV,0,0,1,,0,,0/7,,,7,7,N ,0,97,S ,
KBNA,GFS,2018-01-01 06:00:00+00,2018-01-03 09:00:00+00,,12,1,OV,0,0,,,,,,,,7,7,N ,0,97,S ,
KBNA,GFS,2018-01-01 06:00:00+00,2018-01-03 12:00:00+00,10,12,2,OV,270,2,3,5,0,0,0/0,,0,7,7,N ,1,97,S ,
KBNA,GFS,2018-01-01 06:00:00+00,2018-01-03 15:00:00+00,,23,6,OV,240,4,,,,,,,,7,7,N ,0,96,S ,
KBNA,GFS,2018-01-01 06:00:00+00,2018-01-03 18:00:00+00,,30,2,SC,250,6,3,,0,,0/0,,,8,7,N ,0,88,S ,
KBNA,GFS,2018-01-01 06:00:00+00,2018-01-04 00:00:00+00,35,28,3,FW,300,6,0,11,0,0,0/0,1/1,,8,7,N ,0,90,S ,
KBNA,GFS,2018-01-01 06:00:00+00,2018-01-04 06:00:00+00,,21,4,CL,340,12,0,,0,,0/2,,,8,7,N ,0,96,S ,
KBNA,GFS,2018-01-01 12:00:00+00,2018-01-01 18:00:00+00,,15,-3,FW,360,12,,,,,,,,8,7,N ,2,92,S ,
KBNA,GFS,2018-01-01 12:00:00+00,2018-01-01 21:00:00+00,,19,-6,FW,350,13,,,,,,,,8,7,N ,1,99,S ,
KBNA,GFS,2018-01-01 12:00:00+00,2018-01-02 00:00:00+00,,15,-5,CL,350,11,0,,0,,0/7,,,8,7,N ,2,95,S ,
KBNA,GFS,2018-01-01 12:00:00+00,2018-01-02 03:00:00+00,,12,-4,CL,360,10,,,,,,,,8,7,N ,1,99,S ,
KBNA,GFS,2018-01-01 12:00:00+00,2018-01-02 06:00:00+00,,9,-4,CL,360,7,0,,0,,0/6,,,8,7,N ,1,99,S ,
KBNA,GFS,2018-01-01 12:00:00+00,2018-01-02 09:00:00+00,,7,-4,CL,360,6,,,,,,,,8,7,N ,0,100,S ,
KBNA,GFS,2018-01-01 12:00:00+00,2018-01-02 12:00:00+00,4,6,-5,CL,360,4,1,1,0,0,0/5,,0,8,7,N ,1,99,S ,
KBNA,GFS,2018-01-01 12:00:00+00,2018-01-02 15:00:00+00,,11,-4,FW,20,6,,,,,,,,8,7,N ,0,100,S ,
KBNA,GFS,2018-01-01 12:00:00+00,2018-01-02 18:00:00+00,,18,-6,SC,20,3,0,,0,,0/1,,,8,7,N ,0,98,S ,
KBNA,GFS,2018-01-01 12:00:00+00,2018-01-02 21:00:00+00,,23,-7,SC,10,5,,,,,,,,8,7,N ,0,98,S ,
KBNA,GFS,2018-01-01 12:00:00+00,2018-01-03 00:00:00+00,23,20,-3,SC,20,4,0,0,0,0,0/0,,,8,7,N ,0,97,S ,
KBNA,GFS,2018-01-01 12:00:00+00,2018-01-03 03:00:00+00,,16,0,OV,10,2,,,,,,,,8,7,N ,0,98,S ,
KBNA,GFS,2018-01-01 12:00:00+00,2018-01-03 06:00:00+00,,10,-1,OV,130,1,0,,0,,0/0,,,8,7,N ,0,99,S ,
KBNA,GFS,2018-01-01 12:00:00+00,2018-01-03 09:00:00+00,,10,0,OV,260,1,,,,,,,,7,7,N ,0,98,S ,
KBNA,GFS,2018-01-01 12:00:00+00,2018-01-03 12:00:00+00,8,11,1,OV,270,2,2,2,0,0,0/0,,0,7,7,N ,1,99,S ,
KBNA,GFS,2018-01-01 12:00:00+00,2018-01-03 15:00:00+00,,22,6,OV,230,5,,,,,,,,7,7,N ,0,98,S ,
KBNA,GFS,2018-01-01 12:00:00+00,2018-01-03 18:00:00+00,,31,4,SC,250,7,1,,0,,0/0,,,8,7,N ,1,97,S ,
KBNA,GFS,2018-01-01 12:00:00+00,2018-01-03 21:00:00+00,,34,2,SC,280,9,,,,,,,,8,7,N ,0,93,S ,
KBNA,GFS,2018-01-01 12:00:00+00,2018-01-04 00:00:00+00,37,29,5,FW,300,6,0,1,0,0,0/0,,,8,7,N ,0,95,S ,
KBNA,GFS,2018-01-01 12:00:00+00,2018-01-04 06:00:00+00,,21,4,OV,330,13,0,,0,,0/0,,,8,7,N ,0,95,S ,
KBNA,GFS,2018-01-01 12:00:00+00,2018-01-04 12:00:00+00,15,16,4,BK,340,12,0,0,0,0,0/13,,0,8,7,N ,0,98,S ,
KBNA,GFS,2018-01-01 18:00:00+00,2018-01-02 00:00:00+00,,18,-1,CL,350,11,,,,,,,,8,7,N ,4,92,S ,
KBNA,GFS,2018-01-01 18:00:00+00,2018-01-02 03:00:00+00,,15,-2,CL,360,11,,,,,,,,8,7,N ,3,96,S ,
KBNA,GFS,2018-01-01 18:00:00+00,2018-01-02 06:00:00+00,,12,-3,CL,360,8,0,,0,,0/2,,,8,7,N ,4,97,S ,
KBNA,GFS,2018-01-01 18:00:00+00,2018-01-02 09:00:00+00,,10,-3,CL,360,6,,,,,,,,8,7,N ,1,99,S ,
KBNA,GFS,2018-01-01 18:00:00+00,2018-01-02 12:00:00+00,6,8,-3,CL,10,5,0,0,0,0,0/0,,,8,7,N ,4,96,S ,
KBNA,GFS,2018-01-01 18:00:00+00,2018-01-02 15:00:00+00,,12,-4,CL,20,6,,,,,,,,8,7,N ,0,100,S ,
KBNA,GFS,2018-01-01 18:00:00+00,2018-01-02 18:00:00+00,,19,-6,CL,20,4,0,,0,,0/0,,,8,7,N ,0,99,S ,
KBNA,GFS,2018-01-01 18:00:00+00,2018-01-02 21:00:00+00,,24,-7,CL,360,5,,,,,,,,8,7,N ,1,98,S ,
KBNA,GFS,2018-01-01 18:00:00+00,2018-01-03 00:00:00+00,24,21,-4,BK,10,4,0,0,0,0,0/1,,,8,7,N ,0,98,S ,
KBNA,GFS,2018-01-01 18:00:00+00,2018-01-03 03:00:00+00,,17,0,OV,20,2,,,,,,,,8,7,N ,0,98,S ,
KBNA,GFS,2018-01-01 18:00:00+00,2018-01-03 06:00:00+00,,11,-1,OV,150,1,1,,0,,0/0,,,8,7,N ,0,98,S ,
KBNA,GFS,2018-01-01 18:00:00+00,2018-01-03 09:00:00+00,,11,0,OV,0,0,,,,,,,,8,7,N ,0,98,S ,
KBNA,GFS,2018-01-01 18:00:00+00,2018-01-03 12:00:00+00,9,11,2,OV,290,1,2,2,0,0,0/0,,0,7,7,N ,1,99,S ,
KBNA,GFS,2018-01-01 18:00:00+00,2018-01-03 15:00:00+00,,22,5,OV,240,4,,,,,,,,7,7,N ,0,99,S ,
KBNA,GFS,2018-01-01 18:00:00+00,2018-01-03 18:00:00+00,,30,3,BK,250,6,0,,0,,0/0,,,8,7,N ,0,99,S ,
KBNA,GFS,2018-01-01 18:00:00+00,2018-01-03 21:00:00+00,,32,3,SC,280,8,,,,,,,,8,7,N ,0,96,S ,
KBNA,GFS,2018-01-01 18:00:00+00,2018-01-04 00:00:00+00,35,28,5,SC,300,6,0,2,0,0,1/0,,,8,7,N ,2,93,S ,
KBNA,GFS,2018-01-01 18:00:00+00,2018-01-04 03:00:00+00,,24,5,CL,330,9,,,,,,,,8,7,N ,0,99,S ,
